Input Size,Run Time (ns)
0,2350
1,2776
2,3098
3,3148
4,3988
5,5308
6,6542
7,7866
8,6882
9,7142
10,7736
11,9800
12,7806
13,7870
14,8179
15,9951
16,11189
17,14036
18,17928
19,25008
20,36665
21,72614
22,84408
23,131517
24,208183
Input Size,Run Time (ns)
0,2607
1,2136
2,4166
3,4163
4,4749
5,5610
6,5771
7,6298
8,6555
9,6860
10,7264
11,8230
12,6841
13,8466
14,8614
15,9281
16,11917
17,13284
18,18102
19,26463
20,36658
21,55081
22,84070
23,131813
24,209042
Input Size,Run Time (ns)
0,3070
1,3180
2,4109
3,4136
4,4689
5,5852
6,6687
7,6487
8,7248
9,8135
10,8346
11,8926
12,8880
13,8753
14,10194
15,12522
16,14810
17,18861
18,24060
19,30187
20,48726
21,76533
22,120400
23,191360
24,262584
Input Size,Run Time (ns)
0,2425
1,2410
2,3499
3,3745
4,4204
5,4939
6,6162
7,6162
8,6970
9,6929
10,7117
11,8000
12,8496
13,7417
14,8427
15,9028
16,10760
17,14952
18,20040
19,27319
20,46697
21,76241
22,117367
23,132696
24,208550
Input Size,Run Time (ns)
0,2267
1,2729
2,3268
3,3240
4,4432
5,4639
6,6031
7,5756
8,5504
9,5275
10,7353
11,8703
12,7159
13,7795
14,8892
15,11508
16,9876
17,12729
18,17370
19,25031
20,36019
21,53690
22,83621
23,130463
24,207528
Input Size,Run Time (ns)
0,2387
1,2232
2,3079
3,3129
4,3818
5,4445
6,5677
7,6273
8,6067
9,6480
10,8377
11,9330
12,7298
13,7734
14,8798
15,9354
16,10675
17,13487
18,18487
19,24937
20,36129
21,54493
22,83893
23,200905
24,208942
Input Size,Run Time (ns)
0,1891
1,2432
2,3293
3,3524
4,3640
5,4462
6,5961
7,7203
8,6695
9,6988
10,6823
11,7990
12,8105
13,8822
14,8745
15,9852
16,10998
17,13221
18,18158
19,25393
20,36720
21,54985
22,84451
23,131786
24,209807
Input Size,Run Time (ns)
0,2809
1,2512
2,2927
3,3245
4,4335
5,4603
6,4770
7,5459
8,5716
9,6467
10,5532
11,6612
12,6325
13,8405
14,11075
15,9201
16,8961
17,12619
18,16852
19,23511
20,35886
21,53964
22,82892
23,130243
24,207790
